busno	busid	stationid	stationnm	x	y
6642	4664200	16220	등촌3동그랜드백화점	126.83897031285296	37.5601701491299
6642	4664200	16222	서울호서전문학교.등촌주공3단지아파트	126.83978205911953	37.56273936671179
6642	4664200	16295	등촌3동주공4단지아파트	126.84303715210511	37.56240402716554
6642	4664200	16293	등촌3동5단지아파트.등촌고등학교	126.84543407267189	37.56158088762365
6642	4664200	16365	미주아파트등현초등학교	126.84686725439146	37.5609591990966
6642	4664200	16366	등촌주공6단지앞	126.8488192661177	37.56012369848668
6642	4664200	16367	강서구민올림픽체육센타	126.85043956664182	37.559863544034364
6642	4664200	16368	등촌9단지SBS공개홀	126.85086249623272	37.56177169203426
6642	4664200	16369	가양4.5단지상가앞	126.85277028385444	37.563840291080666
6642	4664200	16237	가양도시개발5단지아파트	126.85500521795512	37.56421340574224
6642	4664200	16357	가양6.8단지	126.85792870592867	37.56264996030793
6642	4664200	16240	가양초등학교	126.85955022083463	37.561755313300154
6642	4664200	16342	가양7단지상가	126.86153651061022	37.56068175474297
6642	4664200	16243	가양3동도시개발9단지아파트	126.86321798893755	37.55975558904803
6642	4664200	16253	블루나인비지니스센터.이마트	126.86374393553362	37.55624283491985
6642	4664200	16251	태영.삼성한사랑아파트	126.86545743044255	37.55506526835977
6642	4664200	16855	태영송화아파트	126.86751383697082	37.55387544659207
6642	4664200	16250	염창동관음삼성아파트	126.86935810385799	37.55292955067935
6642	4664200	16248	염창동새마을금고	126.87279447482341	37.550157031293715
6642	4664200	16246	염창동리버파크호텔	126.87768931363811	37.548816868608114
6642	4664200	16851	염창역.서울도시가스	126.8760113688574	37.54718323600357
6642	4664200	16247	염창동새마을금고	126.87332401182107	37.55023509467463
6642	4664200	16249	염창동한마음.관음삼성아파트	126.8697189477491	37.55304709157788
6642	4664200	16252	금호.한솔아파트	126.86548503975634	37.555447363501344
6642	4664200	16254	블루나인비지니스센터.이마트	126.86391889388517	37.55650705705588
6642	4664200	16244	가양도시개발9단지.세현고등학교	126.86384061067703	37.55971846278484
6642	4664200	16242	가양3동주민센터	126.86075298644825	37.56141252054592
6642	4664200	16239	가양3동도시개발6단지아파트	126.85790437173304	37.56294639041537
6642	4664200	16238	가양2동강변아파트	126.85563806160864	37.5641799397174
6642	4664200	16343	가양4.5단지	126.85263801086077	37.564329419086505
6642	4664200	16344	등촌주공9단지	126.85050829730847	37.56115489683577
6642	4664200	16345	강서구민올림픽체육센타	126.85012949224998	37.55982800824419
6642	4664200	16346	등촌주공6단지	126.84894900021314	37.56034012676927
6642	4664200	16347	등현초등학교	126.84701401857431	37.56114861878172
6642	4664200	16294	등촌3동5단지아파트.등촌고등학교	126.84558082885444	37.561773012334875
6642	4664200	16296	등촌동부영아파트	126.8431057704024	37.562609567402745
6642	4664200	16221	서울호서전문학교.등촌주공3단지아파트	126.83945693186598	37.56285786923941
6642	4664200	16219	등촌3동그랜드백화점	126.83853820359094	37.56003799950181
6642	4664200	16429	발산역9번출구	126.83668896944839	37.55885232156902
6642	4664200	16423	마곡역	126.82668696166326	37.562007205773725
6642	4664200	16701	마곡엠벨리7단지	126.82467321668935	37.56345859516037
6642	4664200	16702	마곡나루역	126.8241661915214	37.567269458631685
6642	4664200	16703	신방화역4번출구	126.81731649046154	37.567646527854606
6642	4664200	16704	신방화역7번출구	126.81634471365935	37.566924147232385
6642	4664200	16307	공항중학교	126.81627794869642	37.56322686475339
6642	4664200	16422	마곡역	126.82638756045397	37.561763471025365
6642	4664200	16427	마곡역입구	126.82679223387251	37.560051088883725
6642	4664200	16419	마곡수명산파크2단지	126.82618777898496	37.55469500585104
6642	4664200	16420	마곡수명산파크3단지4단지	126.8252225588752	37.551684829995544
6642	4664200	16421	마곡수명산파크7단지	126.82274868607311	37.549198628811126
6642	4664200	16153	강서면허시험장.메이필드호텔	126.81949597962225	37.549683896615676
6642	4664200	16453	송정중학교후문	126.81620424906205	37.554521295523635
6642	4664200	16159	공항동송정중학교	126.81518917365847	37.553072555377156
6642	4664200	16160	공항동천주교회	126.8119344988749	37.55560579583864
